Included Days,Days Traded per Week,Total Trades,Overall Win Rate (%),Monthly Mean WR (%),Monthly Std Dev (%)
Monday,1,56,46.43,46.54,23.57
Tuesday,1,56,57.14,55.38,29.26
Wednesday,1,57,71.93,71.92,25.78
Thursday,1,57,71.93,72.31,18.1
Friday,1,57,57.89,56.54,21.35
Saturday,1,57,85.96,86.54,19.83
Sunday,1,56,66.07,65.77,31.48
"Monday, Tuesday",2,112,51.79,51.52,15.37
"Monday, Wednesday",2,113,59.29,59.21,16.08
"Monday, Thursday",2,113,59.29,59.4,12.67
"Monday, Friday",2,113,52.21,52.67,15.35
"Monday, Saturday",2,113,66.37,66.3,15.06
"Monday, Sunday",2,112,56.25,55.83,18.72
"Tuesday, Wednesday",2,113,64.6,63.65,18.94
"Tuesday, Thursday",2,113,64.6,63.93,18.74
"Tuesday, Friday",2,113,57.52,57.05,18.9
"Tuesday, Saturday",2,113,71.68,71.69,15.3
"Tuesday, Sunday",2,112,61.61,61.32,23.41
"Wednesday, Thursday",2,114,71.93,72.16,17.74
"Wednesday, Friday",2,114,64.91,64.94,13.59
"Wednesday, Saturday",2,114,78.95,79.38,21.63
"Wednesday, Sunday",2,113,69.03,68.59,26.18
"Thursday, Friday",2,114,64.91,64.51,9.27
"Thursday, Saturday",2,114,78.95,79.83,15.78
"Thursday, Sunday",2,113,69.03,69.44,18.11
"Friday, Saturday",2,114,71.93,71.71,11.31
"Friday, Sunday",2,113,61.95,62.09,14.98
"Saturday, Sunday",2,113,76.11,76.2,22.84
"Monday, Tuesday, Wednesday",3,169,58.58,58.2,12.52
"Monday, Tuesday, Thursday",3,169,58.58,58.38,12.09
"Monday, Tuesday, Friday",3,169,53.85,54.09,12.4
"Monday, Tuesday, Saturday",3,169,63.31,63.31,10.55
"Monday, Tuesday, Sunday",3,168,56.55,56.34,15.59
"Monday, Wednesday, Thursday",3,170,63.53,63.57,12.17
"Monday, Wednesday, Friday",3,170,58.82,59.14,10.98
"Monday, Wednesday, Saturday",3,170,68.24,68.29,15.36
"Monday, Wednesday, Sunday",3,169,61.54,61.16,18.34
"Monday, Thursday, Friday",3,170,58.82,58.97,8.99
"Monday, Thursday, Saturday",3,170,68.24,68.52,11.65
"Monday, Thursday, Sunday",3,169,61.54,61.58,12.84
"Monday, Friday, Saturday",3,170,63.53,63.66,10.9
"Monday, Friday, Sunday",3,169,56.8,57.07,12.2
"Monday, Saturday, Sunday",3,169,66.27,66.04,16.35
"Tuesday, Wednesday, Thursday",3,170,67.06,66.59,15.74
"Tuesday, Wednesday, Friday",3,170,62.35,62.07,13.7
"Tuesday, Wednesday, Saturday",3,170,71.76,71.69,16.04
"Tuesday, Wednesday, Sunday",3,169,65.09,64.6,20.99
"Tuesday, Thursday, Friday",3,170,62.35,61.98,13.06
"Tuesday, Thursday, Saturday",3,170,71.76,71.98,13.64
"Tuesday, Thursday, Sunday",3,169,65.09,65.07,17.66
"Tuesday, Friday, Saturday",3,170,67.06,67.05,11.35
"Tuesday, Friday, Sunday",3,169,60.36,60.5,15.87
"Tuesday, Saturday, Sunday",3,169,69.82,69.88,18.74
"Wednesday, Thursday, Friday",3,171,67.25,67.28,10.22
"Wednesday, Thursday, Saturday",3,171,76.61,77.2,17.35
"Wednesday, Thursday, Sunday",3,170,70,70.08,19.16
"Wednesday, Friday, Saturday",3,171,71.93,72.13,13.26
"Wednesday, Friday, Sunday",3,170,65.29,65.38,16
"Wednesday, Saturday, Sunday",3,170,74.71,74.7,22.75
"Thursday, Friday, Saturday",3,171,71.93,72.1,8.66
"Thursday, Friday, Sunday",3,170,65.29,65.49,10.21
"Thursday, Saturday, Sunday",3,170,74.71,75.23,17.34
"Friday, Saturday, Sunday",3,170,70,70.11,13.8
"Monday, Tuesday, Wednesday, Thursday",4,226,61.95,61.7,11.08
"Monday, Tuesday, Wednesday, Friday",4,226,58.41,58.48,9.85
"Monday, Tuesday, Wednesday, Saturday",4,226,65.49,65.42,11.72
"Monday, Tuesday, Wednesday, Sunday",4,225,60.44,60.1,15.48
"Monday, Tuesday, Thursday, Friday",4,226,58.41,58.44,9.4
"Monday, Tuesday, Thursday, Saturday",4,226,65.49,65.6,9.77
"Monday, Tuesday, Thursday, Sunday",4,225,60.44,60.39,12.69
"Monday, Tuesday, Friday, Saturday",4,226,61.95,62.13,8.63
"Monday, Tuesday, Friday, Sunday",4,225,56.89,57.13,11.72
"Monday, Tuesday, Saturday, Sunday",4,225,64,63.93,13.77
"Monday, Wednesday, Thursday, Friday",4,227,62.11,62.28,8.23
"Monday, Wednesday, Thursday, Saturday",4,227,69.16,69.4,12.91
"Monday, Wednesday, Thursday, Sunday",4,226,64.16,64.09,14.35
"Monday, Wednesday, Friday, Saturday",4,227,65.64,65.86,10.92
"Monday, Wednesday, Friday, Sunday",4,226,60.62,60.75,12.73
"Monday, Wednesday, Saturday, Sunday",4,226,67.7,67.53,17.31
