Included Days,Days Traded per Week,Total Trades,Overall Win Rate (%),Monthly Mean WR (%),Monthly Std Dev (%)
Monday,1,56,55.36,54.62,19.73
Tuesday,1,56,58.93,56.92,30.04
Wednesday,1,57,71.93,71.92,29.55
Thursday,1,57,71.93,72.31,18.1
Friday,1,57,57.89,56.54,21.35
Saturday,1,57,84.21,84.62,19.63
Sunday,1,56,69.64,69.23,27.75
"Monday, Tuesday",2,112,57.14,56.41,16.77
"Monday, Wednesday",2,113,63.72,63.31,18.26
"Monday, Thursday",2,113,63.72,63.68,13.31
"Monday, Friday",2,113,56.64,56.94,11.37
"Monday, Saturday",2,113,69.91,69.74,15.01
"Monday, Sunday",2,112,62.5,61.94,18.18
"Tuesday, Wednesday",2,113,65.49,64.51,19.99
"Tuesday, Thursday",2,113,65.49,64.79,19.13
"Tuesday, Friday",2,113,58.41,57.91,18.53
"Tuesday, Saturday",2,113,71.68,71.58,17.72
"Tuesday, Sunday",2,112,64.29,64,21.84
"Wednesday, Thursday",2,114,71.93,72.26,19.22
"Wednesday, Friday",2,114,64.91,64.94,14.33
"Wednesday, Saturday",2,114,78.07,78.42,23.24
"Wednesday, Sunday",2,113,70.8,70.19,26.82
"Thursday, Friday",2,114,64.91,64.51,9.27
"Thursday, Saturday",2,114,78.07,78.87,14.8
"Thursday, Sunday",2,113,70.8,71.15,16.53
"Friday, Saturday",2,114,71.05,70.75,12.61
"Friday, Sunday",2,113,63.72,63.72,13.54
"Saturday, Sunday",2,113,76.99,77.07,21.8
"Monday, Tuesday, Wednesday",3,169,62.13,61.51,14.71
"Monday, Tuesday, Thursday",3,169,62.13,61.76,13.94
"Monday, Tuesday, Friday",3,169,57.4,57.47,11.76
"Monday, Tuesday, Saturday",3,169,66.27,66.11,13.41
"Monday, Tuesday, Sunday",3,168,61.31,60.96,16.17
"Monday, Wednesday, Thursday",3,170,66.47,66.45,14.45
"Monday, Wednesday, Friday",3,170,61.76,61.97,10.67
"Monday, Wednesday, Saturday",3,170,70.59,70.53,17.53
"Monday, Wednesday, Sunday",3,169,65.68,65.12,19.94
"Monday, Thursday, Friday",3,170,61.76,61.88,7.57
"Monday, Thursday, Saturday",3,170,70.59,70.84,12.4
"Monday, Thursday, Sunday",3,169,65.68,65.68,13.49
"Monday, Friday, Saturday",3,170,65.88,65.98,10.17
"Monday, Friday, Sunday",3,169,60.95,61.12,10.68
"Monday, Saturday, Sunday",3,169,69.82,69.61,16.98
"Tuesday, Wednesday, Thursday",3,170,67.65,67.24,16.41
"Tuesday, Wednesday, Friday",3,170,62.94,62.67,13.48
"Tuesday, Wednesday, Saturday",3,170,71.76,71.64,17.92
"Tuesday, Wednesday, Sunday",3,169,66.86,66.32,20.96
"Tuesday, Thursday, Friday",3,170,62.94,62.57,12.83
"Tuesday, Thursday, Saturday",3,170,71.76,71.93,14.51
"Tuesday, Thursday, Sunday",3,169,66.86,66.84,16.73
"Tuesday, Friday, Saturday",3,170,67.06,67,12.95
"Tuesday, Friday, Sunday",3,169,62.13,62.24,14.61
"Tuesday, Saturday, Sunday",3,169,71.01,71.07,18.79
"Wednesday, Thursday, Friday",3,171,67.25,67.33,10.88
"Wednesday, Thursday, Saturday",3,171,76.02,76.6,18.02
"Wednesday, Thursday, Sunday",3,170,71.18,71.22,19.51
"Wednesday, Friday, Saturday",3,171,71.35,71.49,14.53
"Wednesday, Friday, Sunday",3,170,66.47,66.43,16.06
"Wednesday, Saturday, Sunday",3,170,75.29,75.21,23.36
"Thursday, Friday, Saturday",3,171,71.35,71.46,8.74
"Thursday, Friday, Sunday",3,170,66.47,66.59,9.11
"Thursday, Saturday, Sunday",3,170,75.29,75.77,16.45
"Friday, Saturday, Sunday",3,170,70.59,70.62,13.69
"Monday, Tuesday, Wednesday, Thursday",4,226,64.6,64.28,13.16
"Monday, Tuesday, Wednesday, Friday",4,226,61.06,61.02,10.19
"Monday, Tuesday, Wednesday, Saturday",4,226,67.7,67.51,14.52
"Monday, Tuesday, Wednesday, Sunday",4,225,64,63.52,16.82
"Monday, Tuesday, Thursday, Friday",4,226,61.06,61.03,9.67
"Monday, Tuesday, Thursday, Saturday",4,226,67.7,67.74,12.04
"Monday, Tuesday, Thursday, Sunday",4,225,64,63.89,13.64
"Monday, Tuesday, Friday, Saturday",4,226,64.16,64.27,10.03
"Monday, Tuesday, Friday, Sunday",4,225,60.44,60.6,11.34
"Monday, Tuesday, Saturday, Sunday",4,225,67.11,67.01,15.25
"Monday, Wednesday, Thursday, Friday",4,227,64.32,64.47,8.94
"Monday, Wednesday, Thursday, Saturday",4,227,70.93,71.13,14.74
"Monday, Wednesday, Thursday, Sunday",4,226,67.26,67.13,15.96
"Monday, Wednesday, Friday, Saturday",4,227,67.4,67.57,12.01
"Monday, Wednesday, Friday, Sunday",4,226,63.72,63.74,13.17
"Monday, Wednesday, Saturday, Sunday",4,226,70.35,70.12,18.95
"Monday, Thursday, Friday, Saturday",4,227,67.4,67.6,8.07
"Monday, Thursday, Friday, Sunday",4,226,63.72,63.9,8.22
"Monday, Thursday, Saturday, Sunday",4,226,70.35,70.51,13.95
"Monday, Friday, Saturday, Sunday",4,226,66.81,66.9,11.67
"Tuesday, Wednesday, Thursday, Friday",4,227,65.2,65.01,11.34
"Tuesday, Wednesday, Thursday, Saturday",4,227,71.81,71.91,15.41
"Tuesday, Wednesday, Thursday, Sunday",4,226,68.14,67.95,17.24
"Tuesday, Wednesday, Friday, Saturday",4,227,68.28,68.29,12.94
"Tuesday, Wednesday, Friday, Sunday",4,226,64.6,64.52,14.72
"Tuesday, Wednesday, Saturday, Sunday",4,226,71.24,71.11,19.51
"Tuesday, Thursday, Friday, Saturday",4,227,68.28,68.33,10.38
"Tuesday, Thursday, Friday, Sunday",4,226,64.6,64.67,11.63
"Tuesday, Thursday, Saturday, Sunday",4,226,71.24,71.48,15.57
"Tuesday, Friday, Saturday, Sunday",4,226,67.7,67.85,13.58
"Wednesday, Thursday, Friday, Saturday",4,228,71.49,71.77,11.94
"Wednesday, Thursday, Friday, Sunday",4,227,67.84,67.94,12.78
"Wednesday, Thursday, Saturday, Sunday",4,227,74.45,74.72,18.82
"Wednesday, Friday, Saturday, Sunday",4,227,70.93,70.99,16.16
"Thursday, Friday, Saturday, Sunday",4,227,70.93,71.16,10.79
"Monday, Tuesday, Wednesday, Thursday, Friday",5,283,63.25,63.21,9.26
"Monday, Tuesday, Wednesday, Thursday, Saturday",5,283,68.55,68.55,13.1
"Monday, Tuesday, Wednesday, Thursday, Sunday",5,282,65.6,65.38,14.58
"Monday, Tuesday, Wednesday, Friday, Saturday",5,283,65.72,65.79,10.79
"Monday, Tuesday, Wednesday, Friday, Sunday",5,282,62.77,62.74,12.24
