Date,Ref Price,CE Strike,CE Entry,CE SL Level,CE Exit,CE PnL,PE Strike,PE Entry,PE SL Level,PE Exit,PE PnL,Total PnL,CE Status,PE Status,CE pct,PE pct,CE pct,PE pct,net pnl,cum pnl
01/01/25,93921,C-BTC-97600-010125,47,188,1,46,P-BTC-90400-010125,49,196,1,48,94,TP Hit,TP Hit,0.978723404,0.979591837,1,1,2,2
02/01/25,94354.2,C-BTC-96000-020125,113,452,452,-339,P-BTC-91400-020125,32,128,1,31,-308,SL Hit,TP Hit,-3,0.96875,-3,1,-2,0
03/01/25,97257.8,C-BTC-99000-030125,195,780,1,194,P-BTC-95000-030125,105,420,1,104,298,TP Hit,TP Hit,0.994871795,0.99047619,1,1,2,2
04/01/25,98662,C-BTC-101200-040125,36,144,1,35,P-BTC-96000-040125,30,120,1,29,64,TP Hit,TP Hit,0.972222222,0.966666667,1,1,2,4
05/01/25,97983.9,C-BTC-99600-050125,40,160,1,39,P-BTC-97000-050125,53.2,212.8,1,52.2,91.2,TP Hit,TP Hit,0.975,0.981203008,1,1,2,6
06/01/25,97884.4,C-BTC-99400-060125,93,372,372,-279,P-BTC-95800-060125,40,160,1,39,-240,SL Hit,TP Hit,-3,0.975,-3,1,-2,4
07/01/25,101714.4,C-BTC-104800-070125,49,196,1,48,P-BTC-99000-070125,69,276,1,68,116,TP Hit,TP Hit,0.979591837,0.985507246,1,1,2,6
08/01/25,96838.8,C-BTC-98600-080125,154,616,1,153,P-BTC-94400-080125,88,352,1,87,240,TP Hit,TP Hit,0.993506494,0.988636364,1,1,2,8
09/01/25,94322.4,C-BTC-98000-090125,53,212,1,52,P-BTC-92000-090125,169,676,1,168,220,TP Hit,TP Hit,0.981132075,0.99408284,1,1,2,10
10/01/25,92864.3,C-BTC-96000-100125,54,216,1,53,P-BTC-89000-100125,50,200,1,49,102,TP Hit,TP Hit,0.981481481,0.98,1,1,2,12
11/01/25,94792.4,C-BTC-97000-110125,87,348,1,86,P-BTC-91400-110125,55,220,1,54,140,TP Hit,TP Hit,0.988505747,0.981818182,1,1,2,14
12/01/25,94239.5,C-BTC-95800-120125,32,128,1,31,P-BTC-92800-120125,43,172,1,42,73,TP Hit,TP Hit,0.96875,0.976744186,1,1,2,16
13/01/25,95005.3,C-BTC-96000-130125,262,1048,1,261,P-BTC-92200-130125,34,136,136,-102,159,TP Hit,SL Hit,0.996183206,-3,1,-3,-2,14
14/01/25,92092.1,C-BTC-94000-140125,179,716,716,-537,P-BTC-89200-140125,72,288,1,71,-466,SL Hit,TP Hit,-3,0.986111111,-3,1,-2,12
15/01/25,96689.7,C-BTC-100000-150125,50,200,1,49,P-BTC-92600-150125,35,140,1,34,83,TP Hit,TP Hit,0.98,0.971428571,1,1,2,14
16/01/25,99449.1,C-BTC-102000-160125,79,316,1,78,P-BTC-97000-160125,83,332,1,82,160,TP Hit,TP Hit,0.987341772,0.987951807,1,1,2,16
17/01/25,99433.3,C-BTC-100000-170125,459,1836,1836,-1377,P-BTC-97000-170125,99,396,1,98,-1279,SL Hit,TP Hit,-3,0.98989899,-3,1,-2,14
18/01/25,104833.6,C-BTC-107200-180125,150,600,1,149,P-BTC-102000-180125,78,312,1,77,226,TP Hit,TP Hit,0.993333333,0.987179487,1,1,2,16
19/01/25,104217.2,C-BTC-106800-190125,38,152,1,37,P-BTC-102000-190125,51,204,1,50,87,TP Hit,TP Hit,0.973684211,0.980392157,1,1,2,18
20/01/25,104999,C-BTC-110000-200125,86,344,344,-258,P-BTC-102000-200125,103,412,412,-309,-567,SL Hit,SL Hit,-3,-3,-3,-3,-6,12
21/01/25,103645.8,C-BTC-111200-210125,230,920,1,229,P-BTC-96000-210125,165,660,1,164,393,TP Hit,TP Hit,0.995652174,0.993939394,1,1,2,14
22/01/25,106675.1,C-BTC-113600-220125,64,256,1,63,P-BTC-100000-220125,62,248,1,61,124,TP Hit,TP Hit,0.984375,0.983870968,1,1,2,16
23/01/25,104060.8,C-BTC-109200-230125,35,140,1,34,P-BTC-100400-230125,69,276,1,68,102,TP Hit,TP Hit,0.971428571,0.985507246,1,1,2,18
24/01/25,105436.5,C-BTC-113000-240125,79,316,1,78,P-BTC-103000-240125,343,1372,1,342,420,TP Hit,TP Hit,0.987341772,0.997084548,1,1,2,20
