Date,Commisions,PNL,Net profit,Win/loss,Cummulative PNL after commisions,,,,,,
010426,0.080122,1.832,1.751878,Win,1.751878,,,Wins,Losses,Trades,
020426,0.083013,1.9,1.816987,Win,3.568865,,,13,3,16,
040426,0.10117261,2.30969999,2.20852738,Win,5.77739238,,,,,,
050426,0.0775614,1.786,1.7084386,Win,7.48583098,,,Winrate,Win streak,Lose Streak,
080426,0.7793723,-6.793,-7.5723723,Loss,-0.08654132,,,81%,4,1,
090426,0.2574642,5.892,5.6345358,Win,5.54799448,,,,,,
110426,0.3215205,7.333,7.0114795,Win,12.55947398,,,Total Comissions (₹),Total PNL (₹),Net Total PNL (₹),Percentage of Comissions
120426,0.7941577,-7.061,-7.8551577,Loss,4.70431628,,,440.8650894,3786.129499,3345.26441,12%
150426,0.2494107,5.661,5.4115893,Win,10.11590558,,,5.18664811,44.54269999,39.35605188,
160426,0.2565556,5.846,5.5894444,Win,15.70534998,,,,,,
180426,0.3141278,7.13,6.8158722,Win,22.52122218,,,,,,
190426,0.277536,6.32,6.042464,Win,28.56368618,,,,,,
220426,0.7647934,-6.612,-7.3767934,Loss,21.18689278,,,,,,
230426,0.258125,5.96,5.701875,Win,26.88876778,,,,,,
250426,0.3159037,7.199,6.8830963,Win,33.77186408,,,,,,
260426,0.2558122,5.84,5.5841878,Win,39.35605188,,,,,,
