Time,Contract,Qty,Side,Filled/Remaining,Exec.Price,Order Price,Stop Price,Order Value,Trading Fees,Cashflow,Realised P&L,Order Type
2026-04-26 10:39:16.762571+05:30 IST Asia/Kolkata,P-BTC-76400-260426,88,buy,88.00000000/0.00000000,1,1,,0.088,0.0036344,-0.088,2.992,limit_order
2026-04-26 10:39:16.855461+05:30 IST Asia/Kolkata,P-BTC-76400-260426,88,buy,0.00000000/88.00000000,,,135.04,0.088,0,,,market_order
2026-04-25 22:30:11.740343+05:30 IST Asia/Kolkata,P-BTC-76400-260426,88,sell,88.00000000/0.00000000,35,0.1,,0.088,0.127204,3.08,0,market_order
2026-04-26 16:36:56.298017+05:30 IST Asia/Kolkata,C-BTC-78600-260426,89,buy,89.00000000/0.00000000,1,1,,0.089,0.0036757,-0.089,2.848,limit_order
2026-04-26 16:36:56.389949+05:30 IST Asia/Kolkata,C-BTC-78600-260426,89,buy,0.00000000/89.00000000,,,133.83,0.089,0,,,market_order
2026-04-25 22:30:09.248886+05:30 IST Asia/Kolkata,C-BTC-78600-260426,89,sell,89.00000000/0.00000000,33,0.1,,0.089,0.1212981,2.937,0,market_order
2026-04-25 13:30:03.851914+05:30 IST Asia/Kolkata,P-BTC-76200-250426,113,buy,113.00000000/0.00000000,1,1,,0.113,0.0046669,-0.113,3.503,limit_order
2026-04-25 13:30:03.899499+05:30 IST Asia/Kolkata,P-BTC-76200-250426,113,buy,0.00000000/113.00000000,,,132.14,0.113,0,,,market_order
2026-04-25 00:30:15.959168+05:30 IST Asia/Kolkata,P-BTC-76200-250426,113,sell,113.00000000/0.00000000,32,0.1,,0.113,0.1493408,3.616,0,market_order
2026-04-25 06:14:53.898574+05:30 IST Asia/Kolkata,C-BTC-79400-250426,112,buy,112.00000000/0.00000000,1,1,,0.112,0.0046256,-0.112,3.696,limit_order
2026-04-25 06:14:53.993864+05:30 IST Asia/Kolkata,C-BTC-79400-250426,112,buy,0.00000000/112.00000000,,,133.32,0.112,0,,,market_order
2026-04-25 00:30:13.303586+05:30 IST Asia/Kolkata,C-BTC-79400-250426,112,sell,112.00000000/0.00000000,34,0.1,,0.112,0.1572704,3.808,0,market_order
2026-04-23 14:22:27.129381+05:30 IST Asia/Kolkata,P-BTC-76600-230426,98,buy,98.00000000/0.00000000,1,1,,0.098,0.0040474,-0.098,3.234,limit_order
2026-04-23 14:22:27.178537+05:30 IST Asia/Kolkata,P-BTC-76600-230426,98,buy,0.00000000/98.00000000,,,121.44,0.098,0,,,market_order
2026-04-23 00:30:08.015775+05:30 IST Asia/Kolkata,P-BTC-76600-230426,98,sell,98.00000000/0.00000000,34,0.1,,0.098,0.1376116,3.332,0,market_order
2026-04-23 11:09:09.535819+05:30 IST Asia/Kolkata,C-BTC-80800-230426,47,buy,47.00000000/0.00000000,1,1,,0.047,0.0019411,-0.047,2.726,limit_order
2026-04-23 11:09:09.626299+05:30 IST Asia/Kolkata,C-BTC-80800-230426,46,buy,0.00000000/46.00000000,,,251.81,0.046,0,,,market_order
2026-04-23 00:30:05.703423+05:30 IST Asia/Kolkata,C-BTC-80800-230426,47,sell,47.00000000/0.00000000,59,0.1,,0.047,0.1145249,2.773,0,market_order
2026-04-22 07:31:03.516909+05:30 IST Asia/Kolkata,P-BTC-73200-220426,103,buy,103.00000000/0.00000000,1,1,,0.103,0.0042539,-0.103,2.781,limit_order
2026-04-22 07:31:03.611628+05:30 IST Asia/Kolkata,P-BTC-73200-220426,103,buy,0.00000000/103.00000000,,,115.47,0.103,0,,,market_order
2026-04-22 00:30:09.852853+05:30 IST Asia/Kolkata,P-BTC-73200-220426,103,sell,103.00000000/0.00000000,28,0.1,,0.103,0.1191092,2.884,0,market_order
2026-04-22 08:00:20.380939+05:30 IST Asia/Kolkata,C-BTC-78000-220426,93,buy,0.00000000/93.00000000,,1,,0.093,0,,,limit_order
2026-04-22 08:00:20.528152+05:30 IST Asia/Kolkata,C-BTC-78000-220426,93,buy,93.00000000/0.00000000,134,781.7,128.19,0.093,0.5146806,-12.462,-9.393,market_order
2026-04-22 00:30:07.534979+05:30 IST Asia/Kolkata,C-BTC-78000-220426,93,sell,93.00000000/0.00000000,33,0.1,,0.093,0.1267497,3.069,0,market_order
2026-04-19 16:20:04.189258+05:30 IST Asia/Kolkata,P-BTC-74200-190426,104,buy,104.00000000/0.00000000,1,1,,0.104,0.0042952,-0.104,3.536,limit_order
2026-04-19 16:20:04.282309+05:30 IST Asia/Kolkata,P-BTC-74200-190426,104,buy,0.00000000/104.00000000,,,114.9,0.104,0,,,market_order
2026-04-18 22:30:06.993501+05:30 IST Asia/Kolkata,P-BTC-74200-190426,104,sell,104.00000000/0.00000000,35,0.1,,0.104,0.150332,3.64,0,market_order
2026-04-19 08:20:41.715523+05:30 IST Asia/Kolkata,C-BTC-77400-190426,96,buy,96.00000000/0.00000000,1,1,,0.096,0.0039648,-0.096,2.784,limit_order
2026-04-19 08:20:41.808904+05:30 IST Asia/Kolkata,C-BTC-77400-190426,96,buy,0.00000000/96.00000000,,,124.64,0.096,0,,,market_order
2026-04-18 22:30:04.718973+05:30 IST Asia/Kolkata,C-BTC-77400-190426,96,sell,96.00000000/0.00000000,30,0.1,,0.096,0.118944,2.88,0,market_order
2026-04-18 08:10:15.966497+05:30 IST Asia/Kolkata,P-BTC-75400-180426,124,buy,124.00000000/0.00000000,1,1,,0.124,0.0051212,-0.124,3.596,limit_order
2026-04-18 08:10:16.062254+05:30 IST Asia/Kolkata,P-BTC-75400-180426,124,buy,0.00000000/124.00000000,,,119.96,0.124,0,,,market_order
2026-04-18 00:30:15.013702+05:30 IST Asia/Kolkata,P-BTC-75400-180426,124,sell,124.00000000/0.00000000,30,0.1,,0.124,0.153636,3.72,0,market_order
2026-04-18 06:21:05.791202+05:30 IST Asia/Kolkata,C-BTC-79200-180426,114,buy,114.00000000/0.00000000,1,1,,0.114,0.0047082,-0.114,3.534,limit_order
2026-04-18 06:21:05.881841+05:30 IST Asia/Kolkata,C-BTC-79200-180426,114,buy,0.00000000/114.00000000,,,130.42,0.114,0,,,market_order
2026-04-18 00:30:12.668012+05:30 IST Asia/Kolkata,C-BTC-79200-180426,114,sell,114.00000000/0.00000000,32,0.1,,0.114,0.1506624,3.648,0,market_order
2026-04-16 09:45:17.798076+05:30 IST Asia/Kolkata,P-BTC-72600-160426,89,buy,89.00000000/0.00000000,1,1,,0.089,0.0036757,-0.089,3.026,limit_order
2026-04-16 09:45:17.893841+05:30 IST Asia/Kolkata,P-BTC-72600-160426,68,buy,0.00000000/68.00000000,,,133.78,0.068,0,,,market_order
2026-04-16 00:30:07.062297+05:30 IST Asia/Kolkata,P-BTC-72600-160426,89,sell,89.00000000/0.00000000,35,0.1,,0.089,0.1286495,3.115,0,market_order
2026-04-16 10:19:23.461501+05:30 IST Asia/Kolkata,C-BTC-76800-160426,94,buy,94.00000000/0.00000000,1,1,,0.094,0.0038822,-0.094,2.82,limit_order
2026-04-16 10:19:23.555049+05:30 IST Asia/Kolkata,C-BTC-76800-160426,94,buy,0.00000000/94.00000000,,,127.7,0.094,0,,,market_order
2026-04-16 00:30:05.025834+05:30 IST Asia/Kolkata,C-BTC-76800-160426,94,sell,94.00000000/0.00000000,31,0.1,,0.094,0.1203482,2.914,0,market_order
2026-04-15 10:04:27.846658+05:30 IST Asia/Kolkata,P-BTC-71800-150426,90,buy,90.00000000/0.00000000,1,1,,0.09,0.003717,-0.09,2.79,limit_order
2026-04-15 10:04:27.939425+05:30 IST Asia/Kolkata,P-BTC-71800-150426,90,buy,0.00000000/90.00000000,,,132.11,0.09,0,,,market_order
2026-04-15 00:30:10.653198+05:30 IST Asia/Kolkata,P-BTC-71800-150426,90,sell,90.00000000/0.00000000,32,0.1,,0.09,0.118944,2.88,0,market_order
2026-04-15 09:08:49.863139+05:30 IST Asia/Kolkata,C-BTC-76600-150426,99,buy,99.00000000/0.00000000,1,1,,0.099,0.0040887,-0.099,2.871,limit_order
2026-04-15 09:08:49.954309+05:30 IST Asia/Kolkata,C-BTC-76600-150426,99,buy,0.00000000/99.00000000,,,120.4,0.099,0,,,market_order
2026-04-15 00:30:08.413772+05:30 IST Asia/Kolkata,C-BTC-76600-150426,99,sell,99.00000000/0.00000000,30,0.1,,0.099,0.122661,2.97,0,market_order
2026-04-12 07:13:05.073127+05:30 IST Asia/Kolkata,P-BTC-71400-120426,96,buy,0.00000000/96.00000000,,1,,0.096,0,,,limit_order
2026-04-12 07:13:05.224725+05:30 IST Asia/Kolkata,P-BTC-71400-120426,96,buy,96.00000000/0.00000000,136,857.3,124.06,0.096,0.5392128,-13.056,-10.176,market_order
