Date,Commisions,PNL,Net profit,Win/loss,Cummulative PNL after commisions,,,,,,
10326,0.19636085,-1.7845,-1.98086085,Loss,-1.98086085,,,Wins,Losses,Trades,
40326,0.081774,1.87,1.788226,Win,-0.19263485,,,12,5,17,
50326,0.0806176,1.876,1.7953824,Win,1.60274755,,,,,,
70326,0.0996156,2.304,2.2043844,Win,3.80713195,,,Winrate,Win streak,Lose Streak,
80326,0.07522382,1.7234,1.64817618,Win,5.45530813,,,71%,7,3,
110326,0.0832608,1.89,1.8067392,Win,7.26204733,,,,,,
120326,0.0797916,1.824,1.7442084,Win,9.00625573,,,Total Comissions (₹),Total PNL (₹),Net Total PNL (₹),Percentage of Comissions
140326,0.1029196,2.336,2.2330804,Win,11.23933613,,,239.1714182,1210.9695,971.7980819,20%
150326,0.78021895,-2.4815,-3.26171895,Loss,7.97761718,,,2.81378139,14.2467,11.43291861,
180326,0.0806176,1.848,1.7673824,Win,9.74499958,,,,,,
190326,0.080948,1.882,1.801052,Win,11.54605158,,,,,,
210326,0.30148587,-2.5659,-2.86738587,Loss,8.67866571,,,,,,
220326,0.245735,-2.108,-2.353735,Loss,6.32493071,,,,,,
250326,0.2595292,-2.452,-2.7115292,Loss,3.61340151,,,,,,
260326,0.0828065,1.887,1.8041935,Win,5.41759501,,,,,,
280326,0.1030435,2.387,2.2839565,Win,7.70155151,,,,,,
290326,0.0798329,1.839,1.7591671,Win,9.46071861,,,,,,
