Time,Contract,Qty,Side,Filled/Remaining,Exec.Price,Order Price,Stop Price,Order Value,Trading Fees,Cashflow,Realised P&L,Order Type
2026-03-29 16:34:39.322506+05:30 IST Asia/Kolkata,P-BTC-65800-290326,26,buy,26/0,1,1,,0.026,0.0010738,-0.026,0.936,limit_order
2026-03-29 16:34:39.419885+05:30 IST Asia/Kolkata,P-BTC-65800-290326,26,buy,0/26,,,143.65,0.026,0,,,market_order
2026-03-28 22:30:08.985898+05:30 IST Asia/Kolkata,P-BTC-65800-290326,26,sell,26/0,37,0.1,,0.026,0.0397306,0.962,0,market_order
2026-03-29 14:38:07.670766+05:30 IST Asia/Kolkata,C-BTC-67800-290326,21,buy,21/0,1,1,,0.021,0.0008673,-0.021,0.903,limit_order
2026-03-29 14:38:07.769582+05:30 IST Asia/Kolkata,C-BTC-67800-290326,21,buy,0/21,,,176.57,0.021,0,,,market_order
2026-03-28 22:30:06.602642+05:30 IST Asia/Kolkata,C-BTC-67800-290326,21,sell,21/0,44,0.1,,0.021,0.0381612,0.924,0,market_order
2026-03-28 13:11:53.227629+05:30 IST Asia/Kolkata,P-BTC-64000-280326,19,buy,19/0,1,1,,0.019,0.0007847,-0.019,1.197,limit_order
2026-03-28 13:11:53.320345+05:30 IST Asia/Kolkata,P-BTC-64000-280326,19,buy,0/19,,,248.32,0.019,0,,,market_order
2026-03-28 00:30:07.329337+05:30 IST Asia/Kolkata,P-BTC-64000-280326,19,sell,19/0,64,0.1,,0.019,0.0502208,1.216,0,market_order
2026-03-28 15:44:01.038886+05:30 IST Asia/Kolkata,C-BTC-67400-280326,35,buy,35/0,1,1,,0.035,0.0014455,-0.035,1.19,limit_order
2026-03-28 15:44:01.135756+05:30 IST Asia/Kolkata,C-BTC-67400-280326,35,buy,0/35,,,135.02,0.035,0,,,market_order
2026-03-28 00:30:05.013958+05:30 IST Asia/Kolkata,C-BTC-67400-280326,35,sell,35/0,35,0.1,,0.035,0.0505925,1.225,0,market_order
